model,store,product,horizon,smape,mase,rmse,rmsle
Naive,S005,P0006,7,56.5367,1.1353,72.5304,0.8674
Naive,S005,P0007,7,50.308,1.0517,72.7362,0.7328
Naive,S005,P0008,7,37.937,0.9235,49.7764,0.5217
Naive,S005,P0009,7,44.0512,0.8513,54.457,0.8554
Naive,S005,P0010,7,54.749,1.008,67.6897,0.75
Naive,S005,P0011,7,52.1713,1.1605,58.306,0.884
Naive,S005,P0012,7,58.2264,1.3237,51.2549,0.8043
Naive,S005,P0013,7,55.8972,1.008,64.6301,0.8613
Naive,S005,P0014,7,39.9947,0.8083,32.1287,0.6597
Naive,S005,P0015,7,53.6067,0.8697,58.7154,1.4011
Naive,S005,P0016,7,51.5232,0.9014,49.7264,0.9299
Naive,S005,P0017,7,50.7666,0.9293,42.2398,0.6591
Naive,S005,P0018,7,33.63,0.7466,40.3083,0.4376
Naive,S005,P0019,7,49.1655,0.9551,36.6087,0.6142
Naive,S005,P0020,7,49.542,0.9441,38.4493,0.6738
Naive,S001,P0001,14,50.5488,1.2411,54.8999,0.661
Naive,S001,P0002,14,35.8541,0.8004,39.0064,0.4634
Naive,S001,P0003,14,74.3341,1.2006,77.8492,0.9749
Naive,S001,P0004,14,54.0951,1.0608,46.9707,0.8149
Naive,S001,P0005,14,36.0189,0.7183,43.1226,0.4634
Naive,S001,P0006,14,41.3285,0.6436,39.6411,0.8423
Naive,S001,P0007,14,72.1319,1.1378,77.3038,1.0197
Naive,S001,P0008,14,53.4017,1.3563,50.5884,0.6728
Naive,S001,P0009,14,40.0395,1.1325,56.0771,0.5263
Naive,S001,P0010,14,34.6304,0.7412,28.5365,0.461
Naive,S001,P0011,14,50.5376,0.9629,39.1777,0.6436
Naive,S001,P0012,14,52.0566,1.1028,67.2687,0.6822
Naive,S001,P0013,14,55.457,1.118,45.5605,0.7155
Naive,S001,P0014,14,37.2407,0.6907,44.4949,0.5622
Naive,S001,P0015,14,47.3664,0.8701,40.6761,0.7138
Naive,S001,P0016,14,42.1651,0.7105,49.0875,0.7242
Naive,S001,P0017,14,47.3311,0.9415,38.895,0.7265
Naive,S001,P0018,14,36.9729,0.8287,41.4108,0.467
Naive,S001,P0019,14,54.4161,1.0797,36.2596,0.6757
Naive,S001,P0020,14,44.4361,0.756,32.848,0.5967
Naive,S002,P0001,14,58.2318,0.9721,62.4384,0.7995
Naive,S002,P0002,14,63.6659,1.0426,54.8311,0.8577
Naive,S002,P0003,14,45.9962,0.7734,47.0439,0.6402
Naive,S002,P0004,14,50.5432,0.9618,58.0118,0.705
Naive,S002,P0005,14,52.8187,1.1417,59.6746,0.6928
Naive,S002,P0006,14,40.2311,1.1135,47.5248,0.5549
Naive,S002,P0007,14,51.2835,0.8957,46.9205,0.7389
Naive,S002,P0008,14,59.3092,1.2255,60.9572,0.7742
Naive,S002,P0009,14,61.8798,1.3818,82.2899,0.8332
Naive,S002,P0010,14,34.1081,0.8521,42.5593,0.435
Naive,S002,P0011,14,59.1494,1.1586,76.946,0.9746
Naive,S002,P0012,14,39.287,0.7602,37.1877,0.4882
Naive,S002,P0013,14,44.9955,0.8621,62.0311,0.7665
Naive,S002,P0014,14,73.5727,1.7205,85.4127,1.1336
Naive,S002,P0015,14,60.9992,1.0706,60.9255,1.0667
Naive,S002,P0016,14,45.723,1.0969,57.7308,0.7694
Naive,S002,P0017,14,75.2339,1.2162,63.295,1.1123
Naive,S002,P0018,14,33.2249,0.8285,33.8303,0.4339
Naive,S002,P0019,14,39.2563,0.8195,46.5109,0.7427
Naive,S002,P0020,14,56.8748,1.3602,54.3747,0.7794
Naive,S003,P0001,14,66.2212,1.4796,86.2063,1.2094
Naive,S003,P0002,14,43.0626,0.8349,56.0662,0.806
Naive,S003,P0003,14,33.2689,0.7583,33.7893,0.4641
Naive,S003,P0004,14,59.3484,1.0912,68.7106,0.8644
Naive,S003,P0005,14,82.6289,1.3792,72.4905,1.3293
Naive,S003,P0006,14,42.8407,0.8851,38.5856,0.6258
Naive,S003,P0007,14,39.8323,0.7527,51.263,0.5374
Naive,S003,P0008,14,40.6424,0.8992,48.5258,0.5185
Naive,S003,P0009,14,43.953,1.0429,46.1537,0.5402
Naive,S003,P0010,14,39.1977,0.8967,44.861,0.5837
Naive,S003,P0011,14,50.8784,0.9762,52.0372,1.0095
Naive,S003,P0012,14,53.4029,1.1822,45.1246,0.7738
Naive,S003,P0013,14,43.6682,0.722,46.2667,0.8859
Naive,S003,P0014,14,40.9615,0.9314,57.639,0.5448
Naive,S003,P0015,14,42.673,0.757,50.3593,0.8134
Naive,S003,P0016,14,63.7929,1.6355,99.8512,0.9076
Naive,S003,P0017,14,64.026,1.3235,46.4476,0.8722
Naive,S003,P0018,14,47.3374,0.968,38.6581,0.6294
Naive,S003,P0019,14,42.6958,0.8904,42.2329,0.5569
Naive,S003,P0020,14,37.8611,0.8703,53.4008,0.4816
Naive,S004,P0001,14,38.7515,0.7062,46.0264,0.7877
Naive,S004,P0002,14,43.2232,0.6716,42.9691,0.7255
Naive,S004,P0003,14,48.0011,1.005,44.1511,0.6627
Naive,S004,P0004,14,43.4329,0.9835,71.5549,0.8518
