model,store,product,horizon,mase,smape,rmse,rmsle
Chronos-Bolt-Small,S004,P0007,7,0.8771,38.9012,54.4956,0.4513
Chronos-Bolt-Small,S004,P0008,7,0.3659,14.3712,13.0291,0.1748
Chronos-Bolt-Small,S004,P0009,7,0.9606,65.337,51.4552,1.8044
Chronos-Bolt-Small,S004,P0010,7,0.8086,43.7153,54.2288,0.5308
Chronos-Bolt-Small,S004,P0011,7,0.5283,27.0608,28.8862,0.309
Chronos-Bolt-Small,S004,P0012,7,0.8011,30.4138,30.8416,0.3654
Chronos-Bolt-Small,S004,P0013,7,1.1333,53.4639,70.3803,0.6131
Chronos-Bolt-Small,S004,P0014,7,0.5046,19.6025,31.1098,0.3246
Chronos-Bolt-Small,S004,P0015,7,0.5765,39.7316,22.4344,0.4893
Chronos-Bolt-Small,S004,P0016,7,0.6458,30.165,23.7033,0.3305
Chronos-Bolt-Small,S004,P0017,7,0.3616,15.6964,15.1849,0.1733
Chronos-Bolt-Small,S004,P0018,7,0.8786,32.7681,34.6309,0.4349
Chronos-Bolt-Small,S004,P0019,7,0.3517,16.132,17.5442,0.2128
Chronos-Bolt-Small,S004,P0020,7,0.9172,39.072,40.6563,0.4888
Chronos-Bolt-Small,S005,P0001,7,0.8503,42.5049,53.1176,0.4981
Chronos-Bolt-Small,S005,P0002,7,0.508,28.0715,24.2441,0.3192
Chronos-Bolt-Small,S005,P0003,7,0.4825,26.6553,22.9739,0.355
Chronos-Bolt-Small,S005,P0004,7,0.5341,26.6691,27.9944,0.3848
Chronos-Bolt-Small,S005,P0005,7,0.6412,29.8974,33.7309,0.3316
Chronos-Bolt-Small,S005,P0006,7,0.5627,36.8595,34.9219,0.4982
Chronos-Bolt-Small,S005,P0007,7,1.237,42.9724,92.1728,0.6041
Chronos-Bolt-Small,S005,P0008,7,0.7344,32.8005,35.6177,0.3998
Chronos-Bolt-Small,S005,P0009,7,0.6808,38.7046,37.3086,0.4607
Chronos-Bolt-Small,S005,P0010,7,0.4481,24.1148,28.469,0.2997
Chronos-Bolt-Small,S005,P0011,7,1.2067,65.9079,54.1927,1.6771
Chronos-Bolt-Small,S005,P0012,7,0.8482,45.8516,28.4039,0.4812
Chronos-Bolt-Small,S005,P0013,7,0.6222,32.3894,36.5718,0.3597
Chronos-Bolt-Small,S005,P0014,7,0.3871,17.9199,15.4022,0.2114
Chronos-Bolt-Small,S005,P0015,7,0.5872,27.2032,36.7638,0.3352
Chronos-Bolt-Small,S005,P0016,7,1.6608,98.3479,79.5619,1.1519
Chronos-Bolt-Small,S005,P0017,7,0.8156,36.5359,38.8628,0.4593
Chronos-Bolt-Small,S005,P0018,7,0.6933,33.1652,34.0844,0.388
Chronos-Bolt-Small,S005,P0019,7,0.8366,35.0353,43.4607,0.5125
Chronos-Bolt-Small,S005,P0020,7,0.8124,40.0702,33.6171,0.458
Chronos-Bolt-Small,S001,P0001,14,0.7164,30.5384,30.1275,0.3761
Chronos-Bolt-Small,S001,P0002,14,0.5442,29.4982,29.7905,0.5062
Chronos-Bolt-Small,S001,P0003,14,0.691,31.3415,50.1778,0.394
Chronos-Bolt-Small,S001,P0004,14,0.8385,34.4958,39.7616,0.4104
Chronos-Bolt-Small,S001,P0005,14,0.5293,24.0607,35.7905,0.3053
Chronos-Bolt-Small,S001,P0006,14,0.4774,36.0571,26.8163,1.1545
Chronos-Bolt-Small,S001,P0007,14,0.8737,41.364,56.2003,0.5023
Chronos-Bolt-Small,S001,P0008,14,0.7032,29.0701,27.987,0.3429
Chronos-Bolt-Small,S001,P0009,14,1.0239,40.3063,46.1496,0.4444
Chronos-Bolt-Small,S001,P0010,14,0.6491,26.1942,27.3463,0.3304
Chronos-Bolt-Small,S001,P0011,14,0.5533,31.6509,22.6938,0.4279
Chronos-Bolt-Small,S001,P0012,14,0.7402,33.1728,43.7151,0.3851
Chronos-Bolt-Small,S001,P0013,14,0.7658,35.5038,35.9474,0.4511
Chronos-Bolt-Small,S001,P0014,14,0.673,35.2006,46.6349,0.5008
Chronos-Bolt-Small,S001,P0015,14,0.958,48.6915,45.2986,0.6004
Chronos-Bolt-Small,S001,P0016,14,0.4695,28.2804,30.9291,0.3536
Chronos-Bolt-Small,S001,P0017,14,0.5496,28.9409,24.3103,0.4081
Chronos-Bolt-Small,S001,P0018,14,0.6999,31.4784,34.8054,0.4149
Chronos-Bolt-Small,S001,P0019,14,0.7798,37.7348,25.2744,0.4703
Chronos-Bolt-Small,S001,P0020,14,0.4865,32.6229,20.8505,0.4885
Chronos-Bolt-Small,S002,P0001,14,0.6576,28.1596,46.0944,0.3459
Chronos-Bolt-Small,S002,P0002,14,0.8777,44.1655,44.622,0.5018
Chronos-Bolt-Small,S002,P0003,14,0.6859,42.288,41.3687,0.8967
Chronos-Bolt-Small,S002,P0004,14,0.5665,28.7331,36.0862,0.3551
Chronos-Bolt-Small,S002,P0005,14,0.826,34.8078,52.0859,0.6093
Chronos-Bolt-Small,S002,P0006,14,0.7892,28.9648,36.4294,0.3756
Chronos-Bolt-Small,S002,P0007,14,1.2778,57.3087,65.1175,0.704
Chronos-Bolt-Small,S002,P0008,14,0.516,27.3127,26.682,0.4205
Chronos-Bolt-Small,S002,P0009,14,0.5507,28.7314,31.2847,0.3449
Chronos-Bolt-Small,S002,P0010,14,0.6683,28.4493,33.4521,0.3501
Chronos-Bolt-Small,S002,P0011,14,0.5851,34.7307,34.3475,0.4211
Chronos-Bolt-Small,S002,P0012,14,0.5031,25.3421,26.0919,0.3349
Chronos-Bolt-Small,S002,P0013,14,0.5508,27.3292,37.6059,0.3194
Chronos-Bolt-Small,S002,P0014,14,1.2084,50.3958,56.7564,0.5851
Chronos-Bolt-Small,S002,P0015,14,0.5415,30.942,28.6984,0.4448
Chronos-Bolt-Small,S002,P0016,14,0.5387,27.8929,25.6116,0.3329
Chronos-Bolt-Small,S002,P0017,14,1.1031,59.9353,58.6878,0.718
Chronos-Bolt-Small,S002,P0018,14,0.7327,31.8077,26.9425,0.4154
Chronos-Bolt-Small,S002,P0019,14,0.5108,25.8321,30.3998,0.3256
Chronos-Bolt-Small,S002,P0020,14,0.8727,39.137,33.875,0.4623
Chronos-Bolt-Small,S003,P0001,14,0.5804,30.8224,28.9485,0.3743
Chronos-Bolt-Small,S003,P0002,14,0.5551,36.2837,37.9963,1.2554
Chronos-Bolt-Small,S003,P0003,14,0.8515,28.6901,37.4094,0.3353
Chronos-Bolt-Small,S003,P0004,14,0.9106,49.9443,50.9221,0.7077
Chronos-Bolt-Small,S003,P0005,14,0.9076,42.0661,57.5328,0.5709
Chronos-Bolt-Small,S003,P0006,14,0.801,33.7111,36.2375,0.4076
Chronos-Bolt-Small,S003,P0007,14,1.0312,41.4902,68.2362,0.5126
Chronos-Bolt-Small,S003,P0008,14,0.6036,28.9904,31.0932,0.3522
Chronos-Bolt-Small,S003,P0009,14,0.7791,29.7053,36.5952,0.3728
Chronos-Bolt-Small,S003,P0010,14,0.4897,20.8435,25.1243,0.2708
Chronos-Bolt-Small,S003,P0011,14,0.9761,43.8991,50.2333,0.5241
Chronos-Bolt-Small,S003,P0012,14,0.6839,33.2151,25.2449,0.3835
Chronos-Bolt-Small,S003,P0013,14,0.5981,35.1905,39.0651,0.5224
Chronos-Bolt-Small,S003,P0014,14,1.1011,46.2469,65.5477,0.5462
Chronos-Bolt-Small,S003,P0015,14,0.718,41.2746,49.7511,0.5337
Chronos-Bolt-Small,S003,P0016,14,0.6517,29.4759,37.296,0.3381
Chronos-Bolt-Small,S003,P0017,14,1.1635,46.7794,46.4703,0.5654
Chronos-Bolt-Small,S003,P0018,14,0.8028,37.0332,33.7622,0.5136
