model,store,product,horizon,mse,rmse,mae,mape,smape,mase,rmsle
Prophet,S003,P0016,7,1816.4202,42.6195,32.9736,46.2003,35.7079,0.7076,0.4825
Prophet,S003,P0017,7,977.9749,31.2726,24.6615,7078786869.7961,40.9497,0.7979,0.7187
Prophet,S003,P0018,7,944.1785,30.7275,24.9126,57.5914,39.7767,0.8099,0.5358
Prophet,S003,P0019,7,889.1242,29.8182,23.5356,34.6079,25.8216,0.6077,0.3721
Prophet,S003,P0020,7,2350.7733,48.4848,34.5419,30.167,31.8459,0.7643,0.4044
Prophet,S004,P0001,7,2197.8458,46.8812,35.429,12628945003.5914,37.762,0.7149,0.8031
Prophet,S004,P0002,7,1871.8795,43.2652,33.539,10461723357.3992,40.3005,0.6613,0.7658
Prophet,S004,P0003,7,1643.2912,40.5375,30.638,70.5451,43.3363,0.8809,0.6087
Prophet,S004,P0004,7,2472.9939,49.7292,40.2836,12072949877.2588,39.6527,0.7559,0.7523
Prophet,S004,P0005,7,1148.1103,33.8838,27.3468,37.0419,31.7405,0.7804,0.4035
Prophet,S004,P0006,7,1931.8575,43.9529,34.4694,58.3225,37.5466,0.6932,0.5362
Prophet,S004,P0007,7,2691.8088,51.8826,41.0951,12367377694.1869,41.2921,0.7779,0.7557
Prophet,S004,P0008,7,730.425,27.0264,22.8277,55.67,38.3724,0.8329,0.5131
Prophet,S004,P0009,7,1857.024,43.0932,32.881,19435101200.6932,37.4234,0.7544,0.798
Prophet,S004,P0010,7,2207.0075,46.9788,39.8129,107.1143,39.8108,0.731,0.6074
Prophet,S004,P0011,7,2671.9575,51.691,36.8593,47.3412,35.9427,0.7901,0.5064
Prophet,S004,P0012,7,1277.1751,35.7376,28.1169,38.561,34.327,0.8893,0.4271
Prophet,S004,P0013,7,2368.6425,48.6687,39.0263,115.7977,40.707,0.7481,0.6811
Prophet,S004,P0014,7,1104.9977,33.2415,25.3104,59.0427,40.1297,0.7488,0.5563
Prophet,S004,P0015,7,1035.6645,32.1817,25.2389,57.5125,41.5417,0.771,0.5497
Prophet,S004,P0016,7,1009.9761,31.7801,25.4883,6938998172.2669,42.4148,0.7857,0.6964
Prophet,S004,P0017,7,1137.221,33.7227,26.2867,32.9565,28.6176,0.6959,0.3893
Prophet,S004,P0018,7,616.0228,24.8198,19.2558,48.5473,34.4782,0.6982,0.491
Prophet,S004,P0019,7,1288.7425,35.8991,28.3603,37.3765,29.695,0.754,0.4153
Prophet,S004,P0020,7,943.83,30.7218,23.4382,6394462531.9326,40.6351,0.7494,0.6916
Prophet,S005,P0001,7,2022.0797,44.9675,35.0068,11135733961.8055,38.8042,0.7118,0.7642
Prophet,S005,P0002,7,1630.6465,40.3813,32.5663,46.4755,38.2165,0.8016,0.4813
Prophet,S005,P0003,7,1364.8246,36.9435,29.3491,86.7563,42.2602,0.7983,0.6612
Prophet,S005,P0004,7,1638.7892,40.482,32.6269,48.7456,34.0323,0.7895,0.479
Prophet,S005,P0005,7,1727.6502,41.565,32.3417,22207623693.4315,35.6242,0.6984,0.8118
Prophet,S005,P0006,7,2370.3348,48.6861,37.7164,13073613839.7727,36.9994,0.733,0.6917
Prophet,S005,P0007,7,2041.2734,45.1805,35.0672,57.8049,36.7694,0.7109,0.516
Prophet,S005,P0008,7,1111.7174,33.3424,27.3389,38.1258,29.8789,0.6595,0.3962
Prophet,S005,P0009,7,2041.9853,45.1883,36.6664,23565128789.6695,38.2914,0.742,0.8234
