model,store,product,horizon,mse,rmse,mae,mape,smape,mase,rmsle
Prophet,S004,P0013,28,2183.5886,46.7289,37.7808,117.8864,39.973,0.7191,0.6803
Prophet,S004,P0014,28,1153.7021,33.9662,25.8441,62.1803,41.2281,0.766,0.5737
Prophet,S004,P0015,28,999.9506,31.622,25.3621,60.7865,42.7073,0.7767,0.5626
Prophet,S004,P0016,28,1069.8941,32.7092,26.3578,7469974709.3845,43.8998,0.8108,0.7195
Prophet,S004,P0017,28,1205.2093,34.7161,27.0044,33.7173,29.3991,0.7123,0.3991
Prophet,S004,P0018,28,636.531,25.2296,19.4438,51.5004,35.4109,0.7093,0.509
Prophet,S004,P0019,28,1304.8509,36.1227,28.6284,36.9576,29.8515,0.7546,0.4162
Prophet,S004,P0020,28,991.2016,31.4834,24.1292,6921560306.331,42.0797,0.764,0.7148
Prophet,S005,P0001,28,1887.266,43.4427,34.7486,12063711789.6629,39.351,0.7022,0.7868
Prophet,S005,P0002,28,1755.9435,41.904,33.6723,49.1412,39.5121,0.8259,0.5016
Prophet,S005,P0003,28,1446.5317,38.0333,30.2886,94.7426,43.9517,0.8258,0.6921
Prophet,S005,P0004,28,1671.1955,40.8803,32.8778,50.818,34.4171,0.8063,0.4904
Prophet,S005,P0005,28,1760.5466,41.9589,32.9354,23956145293.8711,36.7417,0.7089,0.8414
Prophet,S005,P0006,28,2540.4671,50.403,39.2851,14163081657.853,38.3166,0.7633,0.717
Prophet,S005,P0007,28,2094.6975,45.7679,35.4923,56.987,36.4034,0.7173,0.5107
Prophet,S005,P0008,28,1101.806,33.1935,27.0703,39.4413,29.9158,0.6496,0.4041
Prophet,S005,P0009,28,2088.6145,45.7014,36.8257,25414816718.0196,38.1695,0.7382,0.8467
Prophet,S005,P0010,28,2198.2211,46.8852,37.8852,53.6595,37.7225,0.7236,0.5111
Prophet,S005,P0011,28,1910.7898,43.7126,34.7869,8677202137.8513,43.1116,0.8792,0.766
Prophet,S005,P0012,28,1266.564,35.5888,27.6254,51.7107,39.8046,0.8864,0.5257
Prophet,S005,P0013,28,2237.7115,47.3045,38.2023,60.0103,40.0827,0.741,0.5499
Prophet,S005,P0014,28,1020.3963,31.9436,24.0736,7333718065.2397,38.5634,0.7544,0.6685
Prophet,S005,P0015,28,1978.9973,44.4859,37.0688,13179552780.8301,40.4519,0.7444,0.7345
Prophet,S005,P0016,28,1827.5259,42.7496,35.096,10127563799.8774,49.3463,0.8128,0.8929
Prophet,S005,P0017,28,1642.0471,40.5222,31.808,100.3096,46.3194,0.8599,0.7384
Prophet,S005,P0018,28,1134.6626,33.6848,27.012,33.3191,29.2456,0.6603,0.3619
Prophet,S005,P0019,28,1109.2424,33.3053,27.7613,67.0602,44.7274,0.8775,0.5881
Prophet,S005,P0020,28,857.3904,29.2812,23.2447,66.9873,36.1252,0.6759,0.5779
